Event,Start,End
Great Depression,1929,1933
"Prohibition ends, New Deal begins",1933,1933
World War II,1939,1945
Cold War,1947,1991
Beginning of the Space Age,1957,1957
Bay of Pigs / Cuban Missle Crisis,1961,1962
JFK Assassination,1963,1963
American involvement in Vietnam,1950,1973
Assassinations and civil unrest,1968,1968
Three Mile Island accident,1979,1979
Internet invented,1990,1990
September 11 attacks,2001,2001
Hurricane Katrina,2005,2005
Exxon Valdez Oil Spill,1989,1989
